# Brownian simulation of two boomerang colloidal particles
# attached by an harmonic spring. Length, time and mass are
# given in units of microns, seconds and miligrams.

# Select scheme to integrate Brownian equations
scheme                                   deterministic_forward_euler

# Select implementation to compute M and M*f
# We recommend to use the C++ implementation which is faster,
# see documentation
mobility_blobs_implementation            python_no_wall
mobility_vector_prod_implementation      python_no_wall
domain                                   no_wall
# Select implementation to compute the blobs-blob interactions
blob_blob_force_implementation           None

# Set time step, number of steps and save frequency
dt                                       0.01
n_steps                                  1
n_save                                   1
initial_step				                     0

# Solver params
solver_tolerance                         1.0e-10

# Set fluid viscosity (eta), gravity*blob_mass (g) and blob radius
eta                                      1 
blob_radius                              0.5
g                                      0
repulsion_strength                     0.0 
repulsion_strength_wall                     0.0 

# Load rigid bodies configuration, provide
# *.vertex and *.clones files
structure ../../Structures/sprinkler_N_72_La_5_00_Lb_5_00_W_1_00.vertex  ../../Structures/two_sprinklers.clones   ../../Structures/sprinkler_N_72_La_5_00_Lb_5_00_W_1_00_k_0_00_alpha_1_00_surf_mob_1_00.Laplace


# Set output name
output_name                              data/run_chiral_phoretic_particle
save_clones				                       one_file

